,Material,Space group,Exciton Binding Energy,Stoichiometry,Crystal Type,media_Z,media_pon_Z,max_Z,min_Z,desvio_Z,desvio_pon_Z,media_Electronegativity,media_pon_Electronegativity,max_Electronegativity,min_Electronegativity,desvio_Electronegativity,desvio_pon_Electronegativity,media_IonizationPotential,media_pon_IonizationPotential,max_IonizationPotential,min_IonizationPotential,desvio_IonizationPotential,desvio_pon_IonizationPotential,media_ElectronAffinity,media_pon_ElectronAffinity,max_ElectronAffinity,min_ElectronAffinity,desvio_ElectronAffinity,desvio_pon_ElectronAffinity,media_HOMO,media_pon_HOMO,max_HOMO,min_HOMO,desvio_HOMO,desvio_pon_HOMO,media_LUMO,media_pon_LUMO,max_LUMO,min_LUMO,desvio_LUMO,desvio_pon_LUMO,media_r_s_orbital,media_pon_r_s_orbital,max_r_s_orbital,min_r_s_orbital,desvio_r_s_orbital,desvio_pon_r_s_orbital,media_r_p_orbital,media_pon_r_p_orbital,max_r_p_orbital,min_r_p_orbital,desvio_r_p_orbital,desvio_pon_r_p_orbital,media_r_d_orbital,media_pon_r_d_orbital,max_r_d_orbital,min_r_d_orbital,desvio_r_d_orbital,desvio_pon_r_d_orbital,media_r_atomic_nonbonded,media_pon_r_atomic_nonbonded,max_r_atomic_nonbonded,min_r_atomic_nonbonded,desvio_r_atomic_nonbonded,desvio_pon_r_atomic_nonbonded,media_r_valence_lastorbital,media_pon_r_valence_lastorbital,max_r_valence_lastorbital,min_r_valence_lastorbital,desvio_r_valence_lastorbital,desvio_pon_r_valence_lastorbital,media_r_covalent,media_pon_r_covalent,max_r_covalent,min_r_covalent,desvio_r_covalent,desvio_pon_r_covalent,media_Valence,media_pon_Valence,max_Valence,min_Valence,desvio_Valence,desvio_pon_Valence,media_PeriodicColumn,media_pon_PeriodicColumn,max_PeriodicColumn,min_PeriodicColumn,desvio_PeriodicColumn,desvio_pon_PeriodicColumn,media_PeriodicColumn_upto18,media_pon_PeriodicColumn_upto18,max_PeriodicColumn_upto18,min_PeriodicColumn_upto18,desvio_PeriodicColumn_upto18,desvio_pon_PeriodicColumn_upto18,media_NumberUnfilledOrbitals,media_pon_NumberUnfilledOrbitals,max_NumberUnfilledOrbitals,min_NumberUnfilledOrbitals,desvio_NumberUnfilledOrbitals,desvio_pon_NumberUnfilledOrbitals,media_Polarizability,media_pon_Polarizability,max_Polarizability,min_Polarizability,desvio_Polarizability,desvio_pon_Polarizability
0,As4,Pmna,0.5657994537805747,A,A-53-h,33.0,33.0,33,33,0.0,0.0,2.18,2.18,2.18,2.18,0.0,0.0,-9.0974,-9.0974,-9.0974,-9.0974,0.0,0.0,-1.6025,-1.6025,-1.6025,-1.6025,0.0,0.0,-5.1964,-5.1964,-5.1964,-5.1964,0.0,0.0,4.1976,4.1976,4.1976,4.1976,0.0,0.0,0.8558,0.8558,0.8558,0.8558,0.0,0.0,1.0507,1.0507,1.0507,1.0507,0.0,0.0,0.2524,0.2524,0.2524,0.2524,0.0,0.0,1.19,1.19,1.19,1.19,0.0,0.0,1.0507,1.0507,1.0507,1.0507,0.0,0.0,1.19,1.19,1.19,1.19,0.0,0.0,15.0,15.0,15.0,15.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,15.0,15.0,15.0,15.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,29.8,29.8,29.8,29.8,0.0,0.0
1,Ag2I2,P4/nmm,1.082457627330174,AB,AB-129-bc,50.0,50.0,53,47,3.0,3.0,2.295,2.295,2.66,1.93,0.3650000000000001,0.3650000000000001,-9.4549,-9.4549,-7.8182,-11.0916,1.6366999999999998,1.6366999999999998,-2.2948,-2.2948,-1.2721,-3.3175,1.0227,1.0227,-5.74305,-5.74305,-4.4022,-7.0839,1.34085,1.34085,2.59625,2.59625,4.2268,0.9657,1.63055,1.63055,1.11325,1.11325,1.3241,0.9024,0.21085000000000004,0.21085000000000004,1.2464499999999998,1.2464499999999998,1.418,1.0749,0.17154999999999998,0.17154999999999998,0.48024999999999995,0.48024999999999995,0.5486,0.4119,0.06835,0.06835,1.4300000000000002,1.4300000000000002,1.53,1.33,0.09999999999999998,0.09999999999999998,1.1995,1.1995,1.3241,1.0749,0.12460000000000004,0.12460000000000004,1.42,1.42,1.45,1.39,0.030000000000000027,0.030000000000000027,14.0,14.0,17.0,11.0,3.0,3.0,4.0,4.0,7.0,1.0,3.0,3.0,14.0,14.0,17.0,11.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,43.55,43.55,52.5,34.6,8.95,8.95
2,Ag2Se2,Pm,1.091099653323594,AB,AB-6-ab,40.5,40.5,47,34,6.5,6.5,2.2399999999999998,2.2399999999999998,2.55,1.93,0.30999999999999994,0.30999999999999994,-9.30605,-9.30605,-7.8182,-10.7939,1.4878500000000003,1.4878500000000003,-1.90325,-1.90325,-1.2721,-2.5344,0.6311500000000001,0.6311500000000001,-5.4563500000000005,-5.4563500000000005,-4.4022,-6.5105,1.0541500000000004,1.0541500000000004,2.8543,2.8543,4.7429,0.9657,1.8885999999999998,1.8885999999999998,1.0619,1.0619,1.3241,0.7997,0.26220000000000004,0.26220000000000004,1.1879,1.1879,1.418,0.9578,0.23009999999999997,0.23009999999999997,0.39415,0.39415,0.5486,0.2397,0.15445,0.15445,1.345,1.345,1.53,1.16,0.18500000000000005,0.18500000000000005,1.1409500000000001,1.1409500000000001,1.3241,0.9578,0.18315000000000003,0.18315000000000003,1.325,1.325,1.45,1.2,0.125,0.125,13.5,13.5,16.0,11.0,2.5,2.5,3.5,3.5,6.0,1.0,2.5,2.5,13.5,13.5,16.0,11.0,2.5,2.5,1.5,1.5,2.0,1.0,0.5,0.5,39.37,39.37,52.5,26.24,13.13,13.13
3,Al2Te2,P-6m2,0.799185354072065,AB,AB-187-hi,32.5,32.5,52,13,19.5,19.5,1.855,1.855,2.1,1.61,0.245,0.245,-7.706799999999999,-7.706799999999999,-5.7176,-9.696,1.9891999999999999,1.9891999999999999,-1.2054,-1.2054,0.0364,-2.4472,1.2418,1.2418,-4.33185,-4.33185,-2.712,-5.9517,1.6198499999999998,1.6198499999999998,3.5525,3.5525,3.9881,3.1169,0.4356000000000002,0.4356000000000002,1.0270000000000001,1.0270000000000001,1.1043,0.9497,0.07730000000000004,0.07730000000000004,1.27285,1.27285,1.3965,1.1492,0.12365000000000004,0.12365000000000004,1.0697,1.0697,1.7101,0.4293,0.6404,0.6404,1.2650000000000001,1.2650000000000001,1.35,1.18,0.08500000000000008,0.08500000000000008,1.27285,1.27285,1.3965,1.1492,0.12365000000000004,0.12365000000000004,1.295,1.295,1.38,1.21,0.08499999999999996,0.08499999999999996,9.5,9.5,16.0,3.0,6.5,6.5,4.5,4.5,6.0,3.0,1.5,1.5,14.5,14.5,16.0,13.0,1.5,1.5,3.5,3.5,5.0,2.0,1.5,1.5,46.2,46.2,55.4,37.0,9.2,9.2
4,GaAs,P3m1,0.3976368002670213,AB,AB-156-bc,32.0,32.0,33,31,1.0,1.0,1.995,1.995,2.18,1.81,0.18500000000000005,0.18500000000000005,-7.364750000000001,-7.364750000000001,-5.6321,-9.0974,1.73265,1.73265,-0.73805,-0.73805,0.1264,-1.6025,0.8644499999999999,0.8644499999999999,-3.8877499999999996,-3.8877499999999996,-2.5791,-5.1964,1.3086499999999999,1.3086499999999999,3.7353000000000005,3.7353000000000005,4.1976,3.273,0.46230000000000016,0.46230000000000016,0.9292499999999999,0.9292499999999999,1.0027,0.8558,0.07344999999999996,0.07344999999999996,1.1973500000000001,1.1973500000000001,1.344,1.0507,0.14665000000000006,0.14665000000000006,0.26735,0.26735,0.2823,0.2524,0.014949999999999991,0.014949999999999991,1.225,1.225,1.26,1.19,0.03500000000000003,0.03500000000000003,1.1973500000000001,1.1973500000000001,1.344,1.0507,0.14665000000000006,0.14665000000000006,1.205,1.205,1.22,1.19,0.015000000000000013,0.015000000000000013,14.0,14.0,15.0,13.0,1.0,1.0,4.0,4.0,5.0,3.0,1.0,1.0,14.0,14.0,15.0,13.0,1.0,1.0,4.0,4.0,5.0,3.0,1.0,1.0,40.6,40.6,51.4,29.8,10.799999999999999,10.799999999999999
5,Au2Se2,P2/m,0.9651776226455999,AB,AB-10-fgm,56.5,56.5,79,34,22.5,22.5,2.545,2.545,2.55,2.54,0.004999999999999893,0.004999999999999893,-10.08905,-10.08905,-9.3842,-10.7939,0.7048500000000004,0.7048500000000004,-2.4243,-2.4243,-2.3142,-2.5344,0.11010000000000009,0.11010000000000009,-6.1318,-6.1318,-5.7531,-6.5105,0.37870000000000026,0.37870000000000026,2.72265,2.72265,4.7429,0.7024,2.02025,2.02025,1.01355,1.01355,1.2274,0.7997,0.21385000000000004,0.21385000000000004,1.1973500000000001,1.1973500000000001,1.4369,0.9578,0.23955000000000004,0.23955000000000004,0.44165,0.44165,0.6436,0.2397,0.20195,0.20195,1.2999999999999998,1.2999999999999998,1.44,1.16,0.14,0.14,1.0926,1.0926,1.2274,0.9578,0.13480000000000003,0.13480000000000003,1.28,1.28,1.36,1.2,0.08000000000000007,0.08000000000000007,20.5,20.5,25.0,16.0,4.5,4.5,3.5,3.5,6.0,1.0,2.5,2.5,13.5,13.5,16.0,11.0,2.5,2.5,1.5,1.5,2.0,1.0,0.5,0.5,31.17,31.17,36.1,26.24,4.9300000000000015,4.9300000000000015
6,Au2Te2,Pm,0.8630387378514921,AB,AB-6-ab,65.5,65.5,79,52,13.5,13.5,2.3200000000000003,2.3200000000000003,2.54,2.1,0.21999999999999997,0.21999999999999997,-9.540099999999999,-9.540099999999999,-9.3842,-9.696,0.15589999999999993,0.15589999999999993,-2.3807,-2.3807,-2.3142,-2.4472,0.0665,0.0665,-5.852399999999999,-5.852399999999999,-5.7531,-5.9517,0.09929999999999994,0.09929999999999994,2.34525,2.34525,3.9881,0.7024,1.6428500000000001,1.6428500000000001,1.0885500000000001,1.0885500000000001,1.2274,0.9497,0.13885000000000003,0.13885000000000003,1.29305,1.29305,1.4369,1.1492,0.14385000000000003,0.14385000000000003,0.53645,0.53645,0.6436,0.4293,0.10714999999999997,0.10714999999999997,1.395,1.395,1.44,1.35,0.04499999999999993,0.04499999999999993,1.1883,1.1883,1.2274,1.1492,0.039100000000000024,0.039100000000000024,1.37,1.37,1.38,1.36,0.009999999999999898,0.009999999999999898,20.5,20.5,25.0,16.0,4.5,4.5,3.5,3.5,6.0,1.0,2.5,2.5,13.5,13.5,16.0,11.0,2.5,2.5,1.5,1.5,2.0,1.0,0.5,0.5,36.55,36.55,37.0,36.1,0.4499999999999993,0.4499999999999993
7,BSb,P-6m2,0.30029515689851644,AB,AB-187-df,28.0,28.0,51,5,23.0,23.0,2.045,2.045,2.05,2.04,0.004999999999999893,0.004999999999999893,-8.20895,-8.20895,-8.1261,-8.2918,0.08285000000000053,0.08285000000000053,-0.768,-0.768,0.0312,-1.5672,0.7992,0.7992,-4.21675,-4.21675,-3.6067,-4.8268,0.6100500000000002,0.6100500000000002,3.59465,3.59465,4.7346,2.4547,1.1399500000000002,1.1399500000000002,0.903,0.903,1.0035,0.8025,0.10050000000000003,0.10050000000000003,1.0373999999999999,1.0373999999999999,1.24,0.8348,0.2026,0.2026,0.9051,0.9051,1.3619,0.4483,0.45680000000000004,0.45680000000000004,1.0999999999999999,1.0999999999999999,1.38,0.82,0.27999999999999997,0.27999999999999997,1.0373999999999999,1.0373999999999999,1.24,0.8348,0.2026,0.2026,1.115,1.115,1.39,0.84,0.27499999999999997,0.27499999999999997,9.0,9.0,15.0,3.0,6.0,6.0,4.0,4.0,5.0,3.0,1.0,1.0,14.0,14.0,15.0,13.0,1.0,1.0,4.0,4.0,5.0,3.0,1.0,1.0,31.54,31.54,42.55,20.53,11.009999999999998,11.009999999999998
8,Cu2Br2,P4/nmm,1.2710565754193874,AB,AB-129-bc,32.0,32.0,35,29,3.0,3.0,2.4299999999999997,2.4299999999999997,2.96,1.9,0.53,0.53,-10.3977,-10.3977,-8.291,-12.5044,2.1067,2.1067,-2.4739,-2.4739,-1.4328,-3.515,1.0411000000000001,1.0411000000000001,-6.23335,-6.23335,-4.6082,-7.8585,1.62515,1.62515,3.3880999999999997,3.3880999999999997,5.4193,1.3569,2.0312,2.0312,0.9767999999999999,0.9767999999999999,1.2022,0.7514,0.2254,0.2254,1.0663,1.0663,1.2492,0.8834,0.18290000000000006,0.18290000000000006,0.27355,0.27355,0.319,0.2281,0.045450000000000004,0.045450000000000004,1.2599999999999998,1.2599999999999998,1.38,1.14,0.12,0.12,1.0428,1.0428,1.2022,0.8834,0.1594,0.1594,1.26,1.26,1.32,1.2,0.06000000000000005,0.06000000000000005,14.0,14.0,17.0,11.0,3.0,3.0,4.0,4.0,7.0,1.0,3.0,3.0,14.0,14.0,17.0,11.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,37.62,37.62,53.44,21.8,15.819999999999999,15.819999999999999
9,Tl2Br2,P4/nmm,1.3067289723144697,AB,AB-129-bc,58.0,58.0,81,35,23.0,23.0,2.5,2.5,2.96,2.04,0.45999999999999996,0.45999999999999996,-8.81295,-8.81295,-5.1215,-12.5044,3.69145,3.69145,-1.7117,-1.7117,0.0916,-3.515,1.8033000000000001,1.8033000000000001,-5.11385,-5.11385,-2.3692,-7.8585,2.74465,2.74465,4.0261,4.0261,5.4193,2.6329,1.3932,1.3932,0.9243999999999999,0.9243999999999999,1.0974,0.7514,0.173,0.173,1.214,1.214,1.5446,0.8834,0.3306,0.3306,0.40925,0.40925,0.5904,0.2281,0.18115000000000003,0.18115000000000003,1.31,1.31,1.48,1.14,0.17000000000000004,0.17000000000000004,1.214,1.214,1.5446,0.8834,0.3306,0.3306,1.325,1.325,1.45,1.2,0.125,0.125,22.0,22.0,27.0,17.0,5.0,5.0,5.0,5.0,7.0,3.0,2.0,2.0,15.0,15.0,17.0,13.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,2.0,36.7,36.7,51.6,21.8,14.9,14.9
